"","code","response","counterexamples","type","p.validity"
"302","M17C",1,"few","denial","invalid"
"303","M17C",1,"few","affirmation","valid"
"304","M17C",1,"few","denial","valid"
"305","M28E",1,"many","affirmation","invalid"
"306","M28E",1,"many","denial","invalid"
"307","M28E",1,"few","affirmation","valid"
"308","M28E",1,"few","denial","valid"
"309","M28E",1,"many","affirmation","invalid"
"310","M28E",1,"many","denial","invalid"
"311","M28E",1,"many","affirmation","valid"
"312","M28E",1,"many","denial","valid"
"313","M28E",1,"few","affirmation","invalid"
"314","M28E",1,"few","denial","invalid"
"315","M28E",1,"many","affirmation","valid"
"316","M28E",1,"many","denial","valid"
"317","M28E",1,"few","affirmation","invalid"
"318","M28E",1,"few","denial","invalid"
"319","M28E",1,"few","affirmation","valid"
"320","M28E",1,"few","denial","valid"
"321","M29I",0,"many","affirmation","invalid"
"322","M29I",0,"many","denial","invalid"
"323","M29I",1,"few","affirmation","valid"
"324","M29I",1,"few","denial","valid"
"325","M29I",0,"many","affirmation","invalid"
"326","M29I",1,"many","denial","invalid"
"327","M29I",1,"many","affirmation","valid"
"328","M29I",1,"many","denial","valid"
"329","M29I",1,"few","affirmation","invalid"
"330","M29I",1,"few","denial","invalid"
"331","M29I",1,"many","affirmation","valid"
"332","M29I",1,"many","denial","valid"
"333","M29I",1,"few","affirmation","invalid"
"334","M29I",1,"few","denial","invalid"
"335","M29I",1,"few","affirmation","valid"
"336","M29I",1,"few","denial","valid"
"337","P29M",1,"many","affirmation","invalid"
"338","P29M",0,"many","denial","invalid"
"339","P29M",1,"few","affirmation","valid"
"340","P29M",1,"few","denial","valid"
"341","P29M",1,"many","affirmation","invalid"
"342","P29M",1,"many","denial","invalid"
"343","P29M",1,"many","affirmation","valid"
"344","P29M",0,"many","denial","valid"
"345","P29M",1,"few","affirmation","invalid"
"346","P29M",1,"few","denial","invalid"
"347","P29M",1,"many","affirmation","valid"
"348","P29M",1,"many","denial","valid"
"349","P29M",1,"few","affirmation","invalid"
"350","P29M",1,"few","denial","invalid"
"351","P29M",1,"few","affirmation","valid"
"352","P29M",1,"few","denial","valid"
"353","PH52",1,"many","affirmation","invalid"
"354","PH52",1,"many","denial","invalid"
"355","PH52",1,"few","affirmation","valid"
"356","PH52",1,"few","denial","valid"
"357","PH52",1,"many","affirmation","invalid"
"358","PH52",1,"many","denial","invalid"
"359","PH52",1,"many","affirmation","valid"
"360","PH52",1,"many","denial","valid"
"361","PH52",1,"few","affirmation","invalid"
"362","PH52",1,"few","denial","invalid"
"363","PH52",1,"many","affirmation","valid"
"364","PH52",1,"many","denial","valid"
"365","PH52",1,"few","affirmation","invalid"
"366","PH52",1,"few","denial","invalid"
"367","PH52",1,"few","affirmation","valid"
"368","PH52",1,"few","denial","valid"
"369","R09D",1,"many","affirmation","invalid"
"370","R09D",1,"many","denial","invalid"
"371","R09D",1,"few","affirmation","valid"
"372","R09D",1,"few","denial","valid"
"373","R09D",1,"many","affirmation","invalid"
"374","R09D",1,"many","denial","invalid"
"375","R09D",1,"many","affirmation","valid"
"376","R09D",1,"many","denial","valid"
"377","R09D",1,"few","affirmation","invalid"
"378","R09D",1,"few","denial","invalid"
"379","R09D",1,"many","affirmation","valid"
"380","R09D",1,"many","denial","valid"
"381","R09D",1,"few","affirmation","invalid"
"382","R09D",1,"few","denial","invalid"
"383","R09D",1,"few","affirmation","valid"
"384","R09D",1,"few","denial","valid"
"385","R19W",0,"many","affirmation","invalid"
"386","R19W",1,"many","denial","invalid"
"387","R19W",1,"few","affirmation","valid"
"388","R19W",1,"few","denial","valid"
"389","R19W",1,"many","affirmation","invalid"
"390","R19W",1,"many","denial","invalid"
"391","R19W",1,"many","affirmation","valid"
"392","R19W",1,"many","denial","valid"
"393","R19W",1,"few","affirmation","invalid"
"394","R19W",1,"few","denial","invalid"
"395","R19W",1,"many","affirmation","valid"
"396","R19W",1,"many","denial","valid"
"397","R19W",1,"few","affirmation","invalid"
"398","R19W",1,"few","denial","invalid"
"399","R19W",1,"few","affirmation","valid"
"400","R19W",1,"few","denial","valid"
"401","R29A",1,"many","affirmation","invalid"
"402","R29A",0,"many","denial","invalid"
"403","R29A",1,"few","affirmation","valid"
"404","R29A",1,"few","denial","valid"
"405","R29A",1,"many","affirmation","invalid"
"406","R29A",1,"many","denial","invalid"
"407","R29A",1,"many","affirmation","valid"
"408","R29A",1,"many","denial","valid"
"409","R29A",1,"few","affirmation","invalid"
"410","R29A",1,"few","denial","invalid"
"411","R29A",1,"many","affirmation","valid"
"412","R29A",1,"many","denial","valid"
"413","R29A",1,"few","affirmation","invalid"
"414","R29A",1,"few","denial","invalid"
"415","R29A",1,"few","affirmation","valid"
"416","R29A",1,"few","denial","valid"
"417","S04U",1,"many","affirmation","invalid"
"418","S04U",1,"many","denial","invalid"
"419","S04U",1,"few","affirmation","valid"
"420","S04U",1,"few","denial","valid"
"421","S04U",1,"many","affirmation","invalid"
"422","S04U",1,"many","denial","invalid"
"423","S04U",1,"many","affirmation","valid"
"424","S04U",1,"many","denial","valid"
"425","S04U",1,"few","affirmation","invalid"
"426","S04U",1,"few","denial","invalid"
"427","S04U",1,"many","affirmation","valid"
"428","S04U",1,"many","denial","valid"
"429","S04U",1,"few","affirmation","invalid"
"430","S04U",1,"few","denial","invalid"
"431","S04U",0,"few","affirmation","valid"
"432","S04U",1,"few","denial","valid"
"433","V11S",1,"many","affirmation","invalid"
"434","V11S",1,"many","denial","invalid"
"435","V11S",1,"few","affirmation","valid"
"436","V11S",1,"few","denial","valid"
"437","V11S",1,"many","affirmation","invalid"
"438","V11S",1,"many","denial","invalid"
"439","V11S",1,"many","affirmation","valid"
"440","V11S",1,"many","denial","valid"
"441","V11S",1,"few","affirmation","invalid"
"442","V11S",1,"few","denial","invalid"
"443","V11S",1,"many","affirmation","valid"
"444","V11S",1,"many","denial","valid"
"445","V11S",1,"few","affirmation","invalid"
"446","V11S",1,"few","denial","invalid"
"447","V11S",1,"few","affirmation","valid"
"448","V11S",1,"few","denial","valid"
"449","W21A",1,"many","affirmation","invalid"
"450","W21A",1,"many","denial","invalid"
"451","W21A",1,"few","affirmation","valid"
"452","W21A",1,"few","denial","valid"
"453","W21A",1,"many","affirmation","invalid"
"454","W21A",1,"many","denial","invalid"
"455","W21A",1,"many","affirmation","valid"
"456","W21A",0,"many","denial","valid"
"457","W21A",1,"few","affirmation","invalid"
"458","W21A",1,"few","denial","invalid"
"459","W21A",1,"many","affirmation","valid"
"460","W21A",1,"many","denial","valid"
"461","W21A",1,"few","affirmation","invalid"
"462","W21A",1,"few","denial","invalid"
"463","W21A",1,"few","affirmation","valid"
"464","W21A",1,"few","denial","valid"
